时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744360299.910428621,.137,13651.8359,0,0,0,0
1744360300.440556337,.142,13652.0859,.0156,0,2,0
1744360300.971508403,.129,13652.0859,0,0,0,0
1744360301.505244487,.130,13652.0859,0,0,0,0
1744360302.033677517,.129,13652.0859,0,0,0,0
1744360302.562145575,.129,13652.0859,0,0,0,0
1744360303.091176323,.129,13652.0859,0,0,0,0
1744360303.620440987,.129,13652.0859,0,0,0,0
1744360304.149415252,.133,13652.0859,0,0,0,0
1744360304.680341425,.128,13652.0859,0,0,0,0
1744360305.211767247,.129,13652.0859,0,0,0,0
1744360305.740054287,.129,13652.0859,0,0,0,0
1744360306.268927513,.129,13652.0859,0,0,0,0
1744360306.798302960,.130,13652.0859,0,0,0,0
1744360307.327883475,.129,13652.0859,0,0,0,0
1744360307.859306076,.129,13652.0859,0,0,0,0
1744360308.390433266,.129,13652.0859,0,0,0,0
1744360308.920058031,.129,13652.0859,0,0,0,0
1744360309.449065046,.129,13652.0859,0,0,0,0
1744360309.979400869,.129,13652.0859,0,0,0,0
1744360310.511649539,.129,13651.9765,0,0,0,0
1744360311.040647469,.133,13651.9765,0,0,0,0
1744360311.570770510,.129,13651.9765,0,0,0,0
1744360312.099538700,.128,13652.1015,.0039,0,1,0
1744360312.629262803,.129,13652.1015,0,0,0,0
1744360313.158753295,.130,13652.1015,0,0,0,0
1744360313.688047248,.129,13652.1015,0,0,0,0
1744360314.218229515,.130,13652.1015,0,0,0,0
1744360314.748790736,.129,13652.1015,0,0,0,0
1744360315.277341463,.129,13652.1015,0,0,0,0
1744360315.806477645,.130,13652.1015,0,0,0,0
1744360316.334816665,.129,13652.1015,0,0,0,0
1744360316.865571147,.130,13652.1015,0,0,0,0
1744360317.393855600,.129,13652.1015,0,0,0,0
1744360317.921856892,.132,13652.1015,0,0,0,0
1744360318.452403332,.128,13652.1015,0,0,0,0
1744360318.985330561,.130,13652.1015,0,0,0,0
1744360319.518059890,.129,13652.1015,0,0,0,0
1744360320.047313650,.129,13652.1015,0,0,0,0
1744360320.579409307,.129,13652.1015,0,0,0,0
1744360321.110517189,.129,13652.1015,0,0,0,0
1744360321.642223686,.129,13652.1015,0,0,0,0
1744360322.173501621,.130,13652.1015,0,0,0,0
1744360322.706656823,.129,13651.9804,0,0,0,0
1744360323.238644303,.130,13651.9804,0,0,0,0
1744360323.770062278,.129,13651.9804,0,0,0,0
1744360324.303202605,.129,13651.9804,0,0,0,0
1744360324.836605931,.132,13651.9804,0,0,0,0
1744360325.368582898,.129,13651.9804,0,.0156,0,1
1744360325.903271055,.129,13651.9804,0,0,0,0
1744360326.435483543,.129,13651.9804,0,0,0,0
1744360326.969814463,.129,13651.9804,0,0,0,0
1744360327.506831063,.129,13651.9804,0,0,0,0
1744360328.041983744,.129,13651.9804,0,0,0,0
1744360328.575139811,.129,13651.9804,0,0,0,0
1744360329.108671764,.129,13651.9804,0,0,0,0
1744360329.644631746,.129,13651.9804,0,0,0,0
1744360330.178120711,.130,13651.9804,0,0,0,0
1744360330.713500078,.129,13651.9804,0,0,0,0
1744360331.247984602,.129,13651.9804,0,0,0,0
1744360331.779639031,.132,13651.9804,0,0,0,0
1744360332.313033032,.129,13651.9804,0,0,0,0
1744360332.849295866,.130,13651.9804,0,0,0,0
1744360333.384893193,.128,13651.9804,0,0,0,0
1744360333.919188505,.130,13651.9804,0,0,0,0
1744360334.453065056,.130,13651.9804,0,0,0,0
1744360334.986125159,.129,13651.9804,0,0,0,0
1744360335.521616576,.129,13651.9804,0,0,0,0
1744360336.055209336,.129,13651.9804,0,0,0,0
1744360336.588925245,.129,13651.9804,0,0,0,0
1744360337.122972218,.129,13651.9804,0,0,0,0
1744360337.657439947,.129,13651.9804,0,0,0,0
1744360338.192659347,.128,13651.9804,0,0,0,0
1744360338.727184258,.133,13651.9804,0,0,0,0
1744360339.262109852,.129,13651.9804,0,0,0,0
1744360339.795115402,.129,13651.9804,0,0,0,0
1744360340.328821917,.129,13651.9804,0,0,0,0
1744360340.863047898,.130,13651.9804,0,0,0,0
1744360341.397979314,.129,13651.9804,0,0,0,0
1744360341.934769652,.129,13651.9804,0,0,0,0
1744360342.469662524,.130,13651.9804,0,0,0,0
1744360343.004630745,.128,13651.9804,0,0,0,0
1744360343.538419646,.130,13651.9804,0,0,0,0
1744360344.072787449,.130,13651.9804,0,0,0,0
1744360344.606310502,.129,13651.9804,0,0,0,0
1744360345.139718202,.129,13651.9804,0,0,0,0
1744360345.674880456,.133,13651.9804,0,0,0,0
1744360346.210033272,.129,13651.9804,0,0,0,0
1744360346.742889207,.129,13651.9804,0,0,0,0
1744360347.276937051,.129,13651.9804,0,0,0,0
1744360347.810031531,.130,13651.9804,0,0,0,0
1744360348.345849121,.129,13651.9804,0,0,0,0
1744360348.881820014,.129,13651.9804,0,0,0,0
1744360349.414967297,.129,13651.9804,0,0,0,0
1744360349.948690002,.129,13651.9804,0,0,0,0
1744360350.485946998,.130,13651.9804,0,0,0,0
1744360351.021083120,.130,13651.9804,0,0,0,0
1744360351.555180714,.129,13651.9804,0,0,0,0
1744360352.090208674,.130,13651.9804,0,0,0,0
1744360352.626960658,.133,13651.9804,0,0,0,0
1744360353.161708352,.130,13651.9804,0,0,0,0
1744360353.694829894,.129,13651.9804,0,0,0,0
1744360354.229663078,.130,13651.9804,0,0,0,0
1744360354.764545939,.129,13651.9804,0,0,0,0
1744360355.299274649,.130,13651.9804,0,0,0,0
1744360355.836014850,.129,13651.9804,0,.0156,0,1
1744360356.370813416,.130,13651.9804,0,0,0,0
1744360356.905951195,.130,13651.9804,0,0,0,0
1744360357.443030513,.129,13651.9804,0,0,0,0
1744360357.980622422,.129,13651.9804,0,0,0,0
1744360358.526428743,.130,13651.9804,0,0,0,0
1744360359.083459665,.129,13651.9804,0,0,0,0
1744360359.617628391,.133,13651.9804,0,0,0,0
1744360360.151448714,.128,13652.1054,.0039,0,1,0
1744360360.686121624,.130,13651.9843,0,0,0,0
1744360361.218495286,.129,13651.9843,0,0,0,0
1744360361.749970895,.129,13651.9843,0,0,0,0
1744360362.285014114,.130,13651.9843,0,0,0,0
1744360362.819390467,.129,13651.9843,0,0,0,0
1744360363.352710819,.130,13651.9843,0,0,0,0
1744360363.886194085,.129,13651.9843,0,0,0,0
1744360364.420426847,.129,13651.9843,0,0,0,0
1744360364.954872459,.129,13651.9843,0,0,0,0
1744360365.487248924,.129,13651.9843,0,0,0,0
