时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744374290.185771387,.132,13060.7226,0,0,0,0
1744374290.712654662,.124,13060.7304,0,0,0,0
1744374291.242227315,.127,13060.8554,0,0,0,0
1744374291.769739306,.125,13060.9804,0,0,0,0
1744374292.298452008,.125,13060.9804,0,0,0,0
1744374292.829034629,.124,13061.1054,0,0,0,0
1744374293.357236607,.126,13061.2343,0,0,0,0
1744374293.884869036,.124,13061.2343,0,0,0,0
1744374294.413908270,.126,13061.3593,0,0,0,0
1744374294.941939260,.125,13061.4843,0,0,0,0
1744374295.471266044,.125,13061.4843,0,0,0,0
1744374295.999453539,.125,13061.6093,0,0,0,0
1744374296.527546071,.125,13061.7343,0,0,0,0
1744374297.056158374,.125,13061.7343,0,0,0,0
1744374297.585260730,.125,13061.8671,0,0,0,0
1744374298.112548088,.125,13061.9921,0,0,0,0
1744374298.641455919,.126,13061.9921,0,0,0,0
1744374299.169521972,.125,13062.1171,0,0,0,0
1744374299.697737999,.125,13062.2421,0,0,0,0
1744374300.226215757,.125,13062.2421,0,0,0,0
1744374300.753879331,.125,13062.4023,0,0,0,0
1744374301.282409791,.125,13062.5273,0,0,0,0
1744374301.812513956,.126,13062.6093,0,3.2695,0,13
1744374302.340968821,.125,13062.6093,0,0,0,0
1744374302.869805613,.126,13062.7265,0,.0156,0,1
1744374303.400907142,.124,13062.8515,0,0,0,0
1744374303.930978208,.125,13062.8515,0,0,0,0
1744374304.458387036,.125,13062.9765,0,0,0,0
1744374304.986886978,.125,13063.1914,0,0,0,0
1744374305.516839543,.124,13063.1914,0,0,0,0
1744374306.046394601,.125,13063.3164,0,0,0,0
1744374306.574541694,.125,13063.4414,0,0,0,0
1744374307.103545295,.125,13063.4414,0,0,0,0
1744374307.632717558,.125,13063.5664,0,0,0,0
1744374308.162231740,.125,13063.6914,0,0,0,0
1744374308.691064701,.125,13063.6914,0,0,0,0
1744374309.220472906,.124,13063.8164,0,0,0,0
1744374309.749296000,.127,13063.9414,0,0,0,0
1744374310.278477340,.125,13064.0625,0,0,0,0
1744374310.806959018,.125,13064.0625,0,0,0,0
1744374311.336272212,.124,13064.1875,0,0,0,0
1744374311.864252451,.125,13064.3125,0,0,0,0
1744374312.391094598,.125,13064.3125,0,0,0,0
1744374312.920612213,.125,13064.4375,0,0,0,0
1744374313.449757674,.126,13064.5546,0,0,0,0
1744374313.978874843,.125,13064.5546,0,0,0,0
1744374314.510707937,.125,13064.7148,0,0,0,0
1744374315.038979062,.125,13064.7148,0,0,0,0
1744374315.566814682,.125,13064.8398,0,0,0,0
1744374316.095424830,.125,13064.9648,0,0,0,0
1744374316.624520129,.125,13064.9648,0,0,0,0
1744374317.152811956,.125,13065.0898,0,0,0,0
1744374317.682394410,.125,13065.2148,0,0,0,0
1744374318.210419562,.125,13065.2695,0,0,0,0
1744374318.744492815,.124,13065.3945,0,0,0,0
1744374319.272977494,.125,13065.5078,0,0,0,0
1744374319.801177177,.125,13065.5078,0,0,0,0
1744374320.328677462,.127,13065.6328,0,0,0,0
1744374320.857252877,.126,13065.7578,0,0,0,0
1744374321.385806716,.125,13065.7578,0,0,0,0
1744374321.915509053,.124,13065.8750,0,0,0,0
1744374322.445242314,.125,13066.0000,0,0,0,0
1744374322.974508006,.125,13066.0000,0,0,0,0
1744374323.505343785,.125,13066.1250,0,0,0,0
1744374324.034066689,.125,13066.2500,0,0,0,0
1744374324.562541031,.125,13066.3750,0,0,0,0
1744374325.090854702,.125,13066.3750,0,0,0,0
1744374325.617855706,.125,13066.5390,0,0,0,0
1744374326.147791430,.124,13066.5976,0,0,0,0
1744374326.678993028,.125,13066.7226,0,0,0,0
1744374327.206916684,.125,13066.7773,0,0,0,0
1744374327.734710057,.125,13066.9023,0,0,0,0
1744374328.262683655,.125,13066.9023,0,0,0,0
1744374328.790330047,.125,13067.0156,0,0,0,0
1744374329.318741111,.125,13067.1445,0,0,0,0
1744374329.847703033,.125,13067.1835,0,0,0,0
1744374330.376090130,.125,13067.3085,0,0,0,0
1744374330.905521746,.127,13067.4296,.0039,0,1,0
1744374331.434031604,.125,13067.4296,0,0,0,0
1744374331.962018692,.125,13067.5546,0,0,0,0
1744374332.490116178,.125,13067.6796,0,0,0,0
1744374333.018845583,.125,13067.7890,0,4.7812,0,17
1744374333.547392667,.125,13067.8046,0,.0156,0,1
1744374334.076055751,.125,13067.9296,0,0,0,0
1744374334.605150527,.125,13067.9296,0,0,0,0
1744374335.134122869,.126,13068.0546,0,0,0,0
1744374335.661810192,.125,13068.1796,0,0,0,0
1744374336.190106882,.125,13068.3046,0,0,0,0
1744374336.719595487,.125,13068.3046,0,0,0,0
1744374337.248340964,.125,13068.4296,0,0,0,0
1744374337.776754075,.125,13068.5273,0,0,0,0
1744374338.305141524,.125,13068.6523,0,0,0,0
1744374338.832785882,.125,13068.6523,0,0,0,0
1744374339.361279008,.126,13068.7773,0,0,0,0
1744374339.887963469,.124,13068.9023,0,0,0,0
1744374340.416375458,.125,13068.9023,0,0,0,0
1744374340.944028997,.125,13069.0273,0,0,0,0
1744374341.472195200,.125,13069.1523,0,0,0,0
1744374342.001195654,.126,13069.1953,0,0,0,0
1744374342.529079300,.125,13069.3164,0,0,0,0
1744374343.057600043,.126,13069.4414,0,0,0,0
1744374343.585812145,.125,13069.4414,0,0,0,0
1744374344.115610500,.124,13069.5664,0,0,0,0
1744374344.644492968,.125,13069.6914,0,0,0,0
1744374345.176336292,.125,13069.7890,0,0,0,0
1744374345.706760473,.125,13069.8281,0,0,0,0
1744374346.235461324,.125,13069.9531,0,0,0,0
1744374346.765333081,.125,13069.9531,0,0,0,0
1744374347.296822573,.124,13070.0781,0,0,0,0
1744374347.826945226,.125,13070.2031,0,0,0,0
1744374348.358666954,.125,13070.2031,0,0,0,0
1744374348.889989863,.125,13070.3281,0,0,0,0
1744374349.422031994,.125,13070.4765,0,0,0,0
1744374349.955273462,.125,13070.4765,0,0,0,0
1744374350.488005684,.125,13070.6015,0,0,0,0
1744374351.021598856,.125,13070.7265,0,0,0,0
1744374351.555050269,.125,13070.7265,0,0,0,0
1744374352.087365183,.126,13070.8515,0,0,0,0
1744374352.619703715,.125,13070.9765,0,0,0,0
1744374353.153397870,.125,13071.1015,0,0,0,0
1744374353.685844979,.125,13071.0781,0,0,0,0
1744374354.219332770,.124,13071.2031,0,0,0,0
1744374354.752771823,.125,13071.3281,0,0,0,0
1744374355.286272553,.125,13071.4531,0,0,0,0
1744374355.820525074,.125,13071.4531,0,0,0,0
1744374356.357062625,.125,13071.5781,0,0,0,0
1744374356.892210802,.125,13071.7031,0,0,0,0
1744374357.427805227,.124,13071.8242,0,0,0,0
1744374357.964117381,.125,13071.8242,0,0,0,0
1744374358.509797023,.125,13071.9492,0,0,0,0
1744374359.043295630,.125,13072.0742,0,0,0,0
1744374359.578655510,.125,13072.1992,0,0,0,0
1744374360.113435304,.125,13072.3242,0,0,0,0
1744374360.648176559,.124,13072.3242,0,0,0,0
1744374361.182470528,.125,13072.4687,0,0,0,0
1744374361.715941528,.126,13072.4687,0,0,0,0
1744374362.247763155,.125,13072.5937,0,0,0,0
1744374362.779496892,.125,13072.6953,0,0,0,0
1744374363.310654182,.125,13072.8203,0,5.1914,0,16
1744374363.842121053,.125,13072.8203,0,0,0,0
1744374364.376165153,.124,13072.9453,0,.0156,0,1
1744374364.907432621,.125,13073.0703,0,0,0,0
1744374365.439583372,.125,13073.1445,0,0,0,0
1744374365.971276974,.125,13073.2695,0,0,0,0
1744374366.508777280,.125,13073.3945,0,0,0,0
1744374367.044221652,.125,13073.3945,0,0,0,0
1744374367.575758194,.125,13073.5195,0,0,0,0
1744374368.109910159,.125,13073.6445,0,0,0,0
1744374368.643124368,.132,13073.6484,0,0,0,0
1744374369.175589442,.125,13073.7734,0,0,0,0
1744374369.708985118,.124,13073.9218,0,0,0,0
1744374370.240125737,.127,13073.9765,0,0,0,0
1744374370.772103998,.125,13074.1015,0,0,0,0
1744374371.304538424,.125,13074.1523,0,0,0,0
1744374371.838207704,.125,13074.2773,0,0,0,0
1744374372.371017414,.125,13074.2773,0,0,0,0
1744374372.904430948,.125,13074.4023,0,0,0,0
1744374373.437897703,.125,13074.5273,0,0,0,0
1744374373.971468764,.125,13074.6054,0,0,0,0
1744374374.508874342,.125,13074.6289,0,0,0,0
1744374375.042302280,.125,13074.7539,0,0,0,0
1744374375.575317472,.125,13074.8789,0,0,0,0
1744374376.108716433,.124,13075.0039,0,0,0,0
1744374376.641650138,.126,13075.0039,0,0,0,0
1744374377.175816608,.124,13075.1289,0,0,0,0
1744374377.708836989,.125,13075.2539,0,0,0,0
1744374378.242422219,.125,13075.2460,0,0,0,0
1744374378.777817267,.125,13075.3710,0,0,0,0
1744374379.311239026,.124,13075.4960,0,0,0,0
1744374379.844645968,.125,13075.5546,0,0,0,0
1744374380.377517302,.127,13075.6835,0,0,0,0
1744374380.910183409,.125,13075.8085,0,0,0,0
1744374381.444475881,.124,13075.8085,0,0,0,0
1744374381.978149654,.125,13075.9335,0,0,0,0
1744374382.514843021,.125,13076.0585,0,0,0,0
1744374383.047649182,.125,13076.0585,0,0,0,0
1744374383.580072884,.125,13076.1835,0,0,0,0
1744374384.114406015,.125,13076.3085,0,0,0,0
1744374384.648298634,.124,13076.4335,0,0,0,0
1744374385.180287540,.125,13076.4335,0,0,0,0
1744374385.714458720,.125,13076.5585,0,0,0,0
1744374386.249240758,.125,13076.6796,0,0,0,0
1744374386.782078509,.125,13076.8046,0,0,0,0
1744374387.315288737,.125,13076.8046,0,0,0,0
1744374387.850065478,.125,13076.9296,0,0,0,0
1744374388.384864337,.125,13077.0585,0,0,0,0
1744374388.917734704,.125,13077.1015,0,0,0,0
1744374389.451866216,.124,13077.2265,0,0,0,0
1744374389.985449100,.125,13077.2851,0,0,0,0
1744374390.526160860,.125,13077.4101,0,0,0,0
1744374391.058837109,.126,13077.4101,0,0,0,0
1744374391.590913968,.125,13077.5351,0,0,0,0
1744374392.123726459,.126,13077.6601,0,0,0,0
1744374392.657413827,.124,13077.7851,0,0,0,0
1744374393.191162272,.124,13077.7851,0,0,0,0
1744374393.723726814,.125,13077.9453,0,0,0,0
1744374394.257409218,.125,13077.9453,0,5.0156,0,18
1744374394.791407502,.124,13078.0898,0,.0156,0,1
1744374395.324252498,.125,13078.1757,0,0,0,0
1744374395.857861184,.125,13078.3007,0,0,0,0
1744374396.391690903,.124,13078.3007,0,0,0,0
1744374396.924414277,.125,13078.4257,0,0,0,0
1744374397.459087730,.125,13078.5898,0,0,0,0
1744374397.992953556,.124,13078.5898,0,0,0,0
1744374398.528171043,.125,13078.7148,0,0,0,0
1744374399.061604442,.125,13078.8398,0,0,0,0
1744374399.593396629,.125,13078.8398,0,0,0,0
1744374400.126994822,.124,13078.9648,0,0,0,0
1744374400.660623481,.126,13079.0820,0,0,0,0
1744374401.193969860,.125,13079.1992,0,0,0,0
1744374401.728157093,.124,13079.2226,0,0,0,0
1744374402.260775667,.125,13079.3476,0,0,0,0
1744374402.793948612,.126,13079.4726,0,0,0,0
1744374403.327573624,.124,13079.5429,0,0,0,0
1744374403.861834908,.125,13079.5820,0,0,0,0
1744374404.395166369,.125,13079.7070,0,0,0,0
1744374404.928417244,.125,13079.7460,0,0,0,0
1744374405.462046852,.125,13079.8710,0,0,0,0
1744374405.995491336,.125,13079.9609,0,0,0,0
1744374406.532654585,.124,13080.0859,0,0,0,0
1744374407.064568266,.126,13080.0859,0,0,0,0
1744374407.597440310,.125,13080.2109,0,0,0,0
1744374408.130244436,.125,13080.3359,0,0,0,0
1744374408.664621466,.124,13080.3359,0,0,0,0
1744374409.197805273,.125,13080.4609,0,0,0,0
1744374409.731757673,.124,13080.6093,0,0,0,0
1744374410.264977971,.125,13080.6953,0,0,0,0
1744374410.797198549,.126,13080.6914,0,0,0,0
1744374411.331029533,.126,13080.8164,0,0,0,0
1744374411.865595514,.125,13080.9414,0,0,0,0
1744374412.398028723,.125,13081.0664,0,0,0,0
1744374412.931752893,.124,13081.0664,0,0,0,0
1744374413.465438228,.125,13081.2421,0,0,0,0
1744374413.998053886,.125,13081.2421,0,0,0,0
1744374414.531869384,.124,13081.3671,0,0,0,0
1744374415.065536881,.125,13081.4921,0,0,0,0
1744374415.597091178,.125,13081.4921,0,0,0,0
1744374416.131096072,.124,13081.6757,0,0,0,0
1744374416.666049836,.125,13081.6757,0,0,0,0
1744374417.198332324,.125,13081.8007,0,0,0,0
1744374417.731652284,.125,13081.9257,0,0,0,0
1744374418.264947965,.124,13081.9257,0,0,0,0
1744374418.797816213,.126,13082.0976,0,0,0,0
1744374419.331143837,.125,13082.2226,0,0,0,0
1744374419.863980286,.125,13082.2695,0,0,0,0
1744374420.397857104,.125,13082.3945,0,0,0,0
1744374420.930816324,.125,13082.3945,0,0,0,0
1744374421.464578134,.126,13082.5195,0,0,0,0
1744374421.998464060,.125,13082.6328,0,0,0,0
1744374422.533031070,.125,13082.7578,0,0,0,0
1744374423.065437249,.125,13082.7578,0,0,0,0
1744374423.598808955,.125,13082.8828,0,0,0,0
1744374424.132531924,.124,13083.0078,0,0,0,0
1744374424.666905121,.125,13083.0742,0,4.9726,0,17
1744374425.201023633,.125,13083.1289,0,0,0,0
1744374425.733972475,.125,13083.2500,0,.0156,0,1
1744374426.267881553,.124,13083.3750,0,0,0,0
1744374426.800489377,.125,13083.3750,0,0,0,0
1744374427.333690154,.125,13083.5000,0,0,0,0
1744374427.867808225,.124,13083.6250,0,0,0,0
1744374428.402834430,.125,13083.6953,0,0,0,0
1744374428.937672737,.125,13083.7421,0,0,0,0
1744374429.469066286,.125,13083.8671,0,0,0,0
1744374430.003277633,.124,13083.9921,0,0,0,0
1744374430.536011441,.125,13083.9921,0,0,0,0
1744374431.069320377,.125,13084.1171,0,0,0,0
1744374431.603818521,.126,13084.2617,0,0,0,0
1744374432.136532005,.125,13084.3398,0,0,0,0
1744374432.670556487,.125,13084.3789,0,0,0,0
1744374433.205423322,.125,13084.5039,0,0,0,0
1744374433.738927124,.124,13084.5039,0,0,0,0
1744374434.271777920,.125,13084.6289,0,0,0,0
1744374434.805997576,.125,13084.7539,0,0,0,0
1744374435.342878855,.125,13084.7539,0,0,0,0
1744374435.876827776,.124,13084.8789,0,0,0,0
1744374436.409262622,.126,13085.0039,0,0,0,0
1744374436.942650297,.124,13085.1093,0,0,0,0
1744374437.475288584,.125,13085.2343,0,0,0,0
1744374438.008337429,.125,13085.2343,0,0,0,0
1744374438.541063001,.125,13085.3593,0,0,0,0
1744374439.074190698,.125,13085.4843,0,0,0,0
1744374439.606195871,.125,13085.4843,0,0,0,0
1744374440.139470487,.124,13085.6093,0,0,0,0
1744374440.674592120,.125,13085.6992,0,0,0,0
1744374441.209016983,.125,13085.8242,0,0,0,0
1744374441.740995812,.124,13085.8242,0,0,0,0
