时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744376704.208106607,.101,13146.1679,0,0,0,0
1744376704.738003462,.125,13146.1640,0,0,0,0
1744376705.268190693,.124,13146.2890,0,0,0,0
1744376705.798106766,.125,13146.3867,0,0,0,0
1744376706.327549643,.124,13146.5117,0,0,0,0
1744376706.858114784,.125,13146.5117,0,0,0,0
1744376707.386840605,.125,13146.6367,0,0,0,0
1744376707.914799901,.125,13146.7617,0,0,0,0
1744376708.442713554,.125,13146.8320,0,0,0,0
1744376708.973480992,.125,13146.8320,0,0,0,0
1744376709.505897733,.125,13147.0039,0,0,0,0
1744376710.034307687,.125,13147.0039,0,0,0,0
1744376710.563570205,.125,13147.1289,0,0,0,0
1744376711.092585641,.125,13147.2539,0,0,0,0
1744376711.621417627,.127,13147.3281,0,0,0,0
1744376712.150099577,.125,13147.3281,0,0,0,0
1744376712.681021745,.124,13147.4531,0,0,0,0
1744376713.211433233,.125,13147.5781,0,0,0,0
1744376713.739137473,.125,13147.6367,0,2.1210,0,8
1744376714.268168733,.125,13147.7617,0,0,0,0
1744376714.798428566,.125,13147.7617,0,0,0,0
1744376715.328360999,.124,13147.8867,0,0,0,0
1744376715.857244469,.126,13148.0117,0,0,0,0
1744376716.386422498,.125,13148.0117,0,0,0,0
1744376716.915558111,.125,13148.1367,0,0,0,0
1744376717.444642459,.125,13148.2617,0,0,0,0
1744376717.973018167,.126,13148.3867,0,0,0,0
1744376718.506260742,.124,13148.3867,0,0,0,0
1744376719.037144493,.124,13148.4335,0,0,0,0
1744376719.565089228,.126,13148.5664,0,0,0,0
1744376720.093723110,.126,13148.6914,0,0,0,0
1744376720.622247655,.125,13148.8164,0,0,0,0
1744376721.150715289,.125,13148.8164,0,0,0,0
1744376721.680758963,.124,13148.9414,0,0,0,0
1744376722.209040097,.125,13149.0664,0,0,0,0
1744376722.738224788,.126,13149.0664,0,0,0,0
1744376723.266450803,.124,13149.1914,0,0,0,0
1744376723.796549095,.124,13149.3164,0,0,0,0
1744376724.325346665,.126,13149.3164,0,0,0,0
1744376724.856008362,.124,13149.4414,0,0,0,0
1744376725.384121533,.125,13149.5664,0,0,0,0
1744376725.912167224,.125,13149.6328,0,0,0,0
1744376726.442134947,.125,13149.7578,0,0,0,0
1744376726.972129873,.126,13149.7578,0,0,0,0
1744376727.506567185,.125,13149.8828,0,0,0,0
1744376728.035734128,.125,13150.0078,0,0,0,0
1744376728.564082724,.125,13150.0078,0,0,0,0
1744376729.092600890,.125,13150.1328,0,3.8320,0,15
1744376729.621235086,.126,13150.2226,0,.0156,0,1
1744376730.149057399,.124,13150.3476,0,0,0,0
1744376730.679504859,.125,13150.3476,0,0,0,0
1744376731.207758779,.125,13150.4726,0,0,0,0
1744376731.737276384,.125,13150.5976,0,0,0,0
1744376732.266241287,.126,13150.5976,0,0,0,0
1744376732.795766090,.125,13150.7226,0,0,0,0
1744376733.324722629,.125,13150.8476,0,0,0,0
1744376733.854152242,.125,13150.8476,0,0,0,0
