时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744357318.272807912,.110,13389.8515,0,0,0,0
1744357318.800487472,.129,13389.8867,.0390,0,5,0
1744357319.332511695,.128,13390.0117,.1054,0,14,0
1744357319.862387931,.186,13390.1367,.0468,0,6,0
1744357320.393247177,.127,13390.2617,.1406,0,19,0
1744357320.925134400,.129,13390.2617,.0703,0,10,0
1744357321.453804172,.128,13390.3867,.0664,0,8,0
1744357321.982339432,.128,13390.3867,.0585,0,8,0
1744357322.514390086,.129,13390.4218,.0468,0,4,0
1744357323.045043911,.129,13390.5468,.0312,0,5,0
1744357323.574869267,.128,13390.6289,.0585,0,8,0
1744357324.102476138,.129,13390.6289,.0078,0,1,0
1744357324.631709268,.128,13390.6289,.0156,0,2,0
1744357325.163251140,.128,13390.6289,.0781,0,10,0
1744357325.692604664,.128,13390.7539,.0273,0,4,0
1744357326.220904160,.128,13390.6953,.0546,0,8,0
1744357326.748316069,.128,13390.8828,.1250,0,16,0
1744357327.277538991,.189,13390.8710,.0468,0,6,0
1744357327.808525798,.128,13390.9101,.0390,0,5,0
1744357328.338891709,.129,13391.0820,.0546,0,7,0
1744357328.867654736,.128,13391.0820,.0781,0,11,0
1744357329.397045968,.129,13391.0898,.0468,0,6,0
1744357329.924602222,.127,13391.2695,.1718,0,20,0
1744357330.452650390,.128,13391.3945,.1015,0,10,0
1744357330.983386844,.129,13391.4062,.0429,0,6,0
1744357331.522407985,.129,13391.5703,.0468,0,6,0
1744357332.050024037,.128,13391.5703,.0546,0,7,0
1744357332.577465291,.129,13391.5703,.0195,0,3,0
1744357333.107655926,.128,13391.5703,.0351,0,5,0
1744357333.635684276,.128,13391.6953,.0742,0,10,0
1744357334.163066779,.181,13391.8203,.0937,0,12,0
1744357334.697168513,.128,13391.8203,.0234,0,3,0
1744357335.227578675,.127,13391.8710,.1171,0,16,0
1744357335.759850896,.127,13391.9648,.0937,0,13,0
1744357336.290820226,.129,13392.0898,.0156,0,2,0
1744357336.823700264,.128,13392.0898,.0664,0,9,0
1744357337.354357978,.129,13392.0898,.0390,0,6,0
1744357337.887701005,.126,13392.2148,.0468,0,6,0
1744357338.418749366,.128,13392.3398,.1445,0,19,0
1744357338.952096175,.127,13392.4648,.1718,0,22,0
1744357339.483185690,.128,13392.6523,.0937,0,12,0
1744357340.016076590,.128,13392.7070,.0781,0,10,0
1744357340.549382283,.128,13392.7070,.0625,0,7,0
1744357341.084786611,.167,13392.8085,.0468,0,6,0
1744357341.615261490,.129,13392.8085,.0234,0,3,0
1744357342.152014158,.128,13392.8085,.0078,0,1,0
1744357342.682328182,.129,13392.8085,0,0,0,0
1744357343.214795614,.128,13393.0351,.1953,0,24,0
1744357343.747011615,.128,13393.1093,.0664,0,8,0
1744357344.280152055,.128,13393.2343,.0976,0,13,0
1744357344.811877261,.128,13393.2343,.1093,0,12,0
1744357345.344377677,.128,13393.3593,.0898,.0156,12,1
1744357345.877006940,.128,13393.3593,.0156,0,2,0
1744357346.410645243,.129,13393.3593,.0078,0,1,0
