tool|sf|day|batch_type|q|parameters|time
DuckDB|10|2012-11-29|power|q4precomputation||1.345328688621521
DuckDB|10|2012-11-29|power|q6precomputation||1.0335642576217652
DuckDB|10|2012-11-29|power|q19precomputation||8.211619997024536
DuckDB|10|2012-11-29|power|q20precomputation||1.7221800804138183
DuckDB|10|2012-11-29|power|1|{"datetime": "2010-08-01T12:12:48.000+00:00"}|0.34753119945526123
DuckDB|10|2012-11-29|power|1|{"datetime": "2010-06-11T09:21:46.000+00:00"}|0.2907881498336792
DuckDB|10|2012-11-29|power|1|{"datetime": "2010-02-26T03:51:21.000+00:00"}|0.14312033653259276
DuckDB|10|2012-11-29|power|1|{"datetime": "2010-08-04T10:58:09.000+00:00"}|0.34888515472412107
DuckDB|10|2012-11-29|power|1|{"datetime": "2010-07-21T06:06:50.000+00:00"}|0.3306416511535645
DuckDB|10|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "ChristianBishop"}|0.25445740222930907
DuckDB|10|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "OfficeHolder"}|0.3251434564590454
DuckDB|10|2012-11-29|power|2a|{"date": "2010-06-06", "tagClass": "Album"}|0.33217625617980956
DuckDB|10|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "Song"}|0.274519944190979
DuckDB|10|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Person"}|0.35251941680908205
DuckDB|10|2012-11-29|power|2b|{"date": "2010-06-08", "tagClass": "ChristianBishop"}|0.2537219047546387
DuckDB|10|2012-11-29|power|2b|{"date": "2010-06-06", "tagClass": "Senator"}|0.244234299659729
DuckDB|10|2012-11-29|power|2b|{"date": "2010-06-07", "tagClass": "ComicsCharacter"}|0.2268540382385254
DuckDB|10|2012-11-29|power|2b|{"date": "2010-06-20", "tagClass": "Comedian"}|0.23923580646514891
DuckDB|10|2012-11-29|power|2b|{"date": "2010-06-20", "tagClass": "SoccerManager"}|0.2637802600860596
DuckDB|10|2012-11-29|power|3|{"tagClass": "Saint", "country": "India"}|0.6486129283905029
DuckDB|10|2012-11-29|power|3|{"tagClass": "President", "country": "India"}|0.6353402853012085
DuckDB|10|2012-11-29|power|3|{"tagClass": "Song", "country": "China"}|0.6305065155029297
DuckDB|10|2012-11-29|power|3|{"tagClass": "Philosopher", "country": "China"}|0.6424628257751465
DuckDB|10|2012-11-29|power|3|{"tagClass": "Monarch", "country": "China"}|0.6392234086990356
DuckDB|10|2012-11-29|power|4|{"date": "2010-01-07"}|0.350811505317688
DuckDB|10|2012-11-29|power|4|{"date": "2010-01-10"}|0.34943380355834963
DuckDB|10|2012-11-29|power|4|{"date": "2010-01-26"}|0.3443650960922241
DuckDB|10|2012-11-29|power|4|{"date": "2010-01-11"}|0.34859623908996584
DuckDB|10|2012-11-29|power|4|{"date": "2010-02-06"}|0.34451706409454347
DuckDB|10|2012-11-29|power|5|{"tag": "Republic_of_New_Granada"}|0.8552395582199097
DuckDB|10|2012-11-29|power|5|{"tag": "All_by_Myself"}|0.8409326791763305
DuckDB|10|2012-11-29|power|5|{"tag": "Rivers_of_Babylon"}|0.847759485244751
DuckDB|10|2012-11-29|power|5|{"tag": "Sikh_Empire"}|0.8408673524856567
DuckDB|10|2012-11-29|power|5|{"tag": "Hot_n_Cold"}|0.8522838115692138
DuckDB|10|2012-11-29|power|6|{"tag": "Lee_Hyung-taik"}|0.38295443058013917
DuckDB|10|2012-11-29|power|6|{"tag": "Get_Back"}|0.4155001640319824
DuckDB|10|2012-11-29|power|6|{"tag": "German_colonial_empire"}|0.41737425327301025
DuckDB|10|2012-11-29|power|6|{"tag": "French_Union"}|0.42083814144134524
DuckDB|10|2012-11-29|power|6|{"tag": "Hohenzollern-Sigmaringen"}|0.41032359600067136
DuckDB|10|2012-11-29|power|7|{"tag": "Jacques_Chirac"}|0.4049985408782959
DuckDB|10|2012-11-29|power|7|{"tag": "Slovenia"}|0.40402772426605227
DuckDB|10|2012-11-29|power|7|{"tag": "Bulgaria"}|0.43768787384033203
DuckDB|10|2012-11-29|power|7|{"tag": "W._B._Yeats"}|0.38750510215759276
DuckDB|10|2012-11-29|power|7|{"tag": "Nicolas_Sarkozy"}|0.4352222204208374
DuckDB|10|2012-11-29|power|8a|{"tag": "Claude_Monet", "startDate": "2010-06-10", "endDate": "2010-06-22"}|0.3301134824752808
DuckDB|10|2012-11-29|power|8a|{"tag": "Dominican_Republic", "startDate": "2010-06-08", "endDate": "2010-06-21"}|0.3356374740600586
DuckDB|10|2012-11-29|power|8a|{"tag": "Christopher_Lee", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.34423716068267823
DuckDB|10|2012-11-29|power|8a|{"tag": "Argentina", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.4067945718765259
DuckDB|10|2012-11-29|power|8a|{"tag": "Claude_Monet", "startDate": "2010-06-08", "endDate": "2010-06-21"}|0.33340456485748293
DuckDB|10|2012-11-29|power|8b|{"tag": "1,039/Smoothed_Out_Slappy_Hours", "startDate": "2010-06-24", "endDate": "2010-07-04"}|0.31650328636169434
DuckDB|10|2012-11-29|power|8b|{"tag": "...And_Out_Come_the_Wolves", "startDate": "2010-06-15", "endDate": "2010-06-27"}|0.31927945613861086
DuckDB|10|2012-11-29|power|8b|{"tag": "...All_This_Time", "startDate": "2010-06-22", "endDate": "2010-07-03"}|0.3321582794189453
DuckDB|10|2012-11-29|power|8b|{"tag": "1,039/Smoothed_Out_Slappy_Hours", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.3171172857284546
DuckDB|10|2012-11-29|power|8b|{"tag": "...From_the_Hungry_i", "startDate": "2010-06-23", "endDate": "2010-07-06"}|0.27642462253570554
DuckDB|10|2012-11-29|power|9|{"startDate": "2012-08-29", "endDate": "2012-11-24"}|0.43980016708374026
DuckDB|10|2012-11-29|power|9|{"startDate": "2012-09-04", "endDate": "2012-12-03"}|0.441819167137146
DuckDB|10|2012-11-29|power|9|{"startDate": "2012-09-03", "endDate": "2012-12-09"}|0.44786503314971926
DuckDB|10|2012-11-29|power|9|{"startDate": "2012-09-02", "endDate": "2012-11-27"}|0.4428192138671875
DuckDB|10|2012-11-29|power|9|{"startDate": "2012-09-02", "endDate": "2012-12-07"}|0.44954662322998046
DuckDB|10|2012-11-29|power|10a|{"personId": "2199023302404", "country": "France", "tagClass": "Saint", "minPathDistance": "3", "maxPathDistance": "4"}|1.1864830732345581
DuckDB|10|2012-11-29|power|10a|{"personId": "2199023302404", "country": "Cuba", "tagClass": "ComicsCreator", "minPathDistance": "3", "maxPathDistance": "4"}|1.0795884370803832
DuckDB|10|2012-11-29|power|10a|{"personId": "2199023263376", "country": "Taiwan", "tagClass": "FormulaOneRacer", "minPathDistance": "3", "maxPathDistance": "4"}|1.008260440826416
DuckDB|10|2012-11-29|power|10a|{"personId": "2199023293139", "country": "Belgium", "tagClass": "PrimeMinister", "minPathDistance": "3", "maxPathDistance": "4"}|1.302564549446106
DuckDB|10|2012-11-29|power|10a|{"personId": "2199023302456", "country": "Turkey", "tagClass": "NascarDriver", "minPathDistance": "3", "maxPathDistance": "4"}|1.2520304203033448
DuckDB|10|2012-11-29|power|10b|{"personId": "3777", "country": "Estonia", "tagClass": "Company", "minPathDistance": "3", "maxPathDistance": "4"}|0.27793869972229
DuckDB|10|2012-11-29|power|10b|{"personId": "31198", "country": "Lithuania", "tagClass": "MartialArtist", "minPathDistance": "3", "maxPathDistance": "4"}|0.4223000526428223
DuckDB|10|2012-11-29|power|10b|{"personId": "38277", "country": "Estonia", "tagClass": "SnookerChamp", "minPathDistance": "3", "maxPathDistance": "4"}|0.38902337551116944
DuckDB|10|2012-11-29|power|10b|{"personId": "10315", "country": "Norway", "tagClass": "SnookerPlayer", "minPathDistance": "3", "maxPathDistance": "4"}|0.4032432556152344
DuckDB|10|2012-11-29|power|10b|{"personId": "36774", "country": "Honduras", "tagClass": "Model", "minPathDistance": "3", "maxPathDistance": "4"}|0.22678985595703124
DuckDB|10|2012-11-29|power|11|{"country": "India", "startDate": "2012-09-28", "endDate": "2013-01-10"}|0.13684422969818116
DuckDB|10|2012-11-29|power|11|{"country": "China", "startDate": "2012-09-30", "endDate": "2012-12-31"}|0.1307997226715088
DuckDB|10|2012-11-29|power|11|{"country": "India", "startDate": "2012-10-04", "endDate": "2013-01-16"}|0.13104841709136963
DuckDB|10|2012-11-29|power|11|{"country": "China", "startDate": "2012-10-12", "endDate": "2013-01-12"}|0.1200679063796997
DuckDB|10|2012-11-29|power|11|{"country": "China", "startDate": "2012-10-14", "endDate": "2013-01-14"}|0.12022850513458253
DuckDB|10|2012-11-29|power|12|{"startDate": "2012-06-05", "lengthThreshold": "115", "languages": "es;pt;zh"}|0.6423090934753418
DuckDB|10|2012-11-29|power|12|{"startDate": "2012-06-05", "lengthThreshold": "115", "languages": "zh;ru;fr"}|0.6379820346832276
DuckDB|10|2012-11-29|power|12|{"startDate": "2012-06-05", "lengthThreshold": "115", "languages": "ru;de;ja"}|0.6098372220993042
DuckDB|10|2012-11-29|power|12|{"startDate": "2012-06-05", "lengthThreshold": "115", "languages": "ur;de;ja"}|0.6086706161499024
DuckDB|10|2012-11-29|power|12|{"startDate": "2012-06-29", "lengthThreshold": "75", "languages": "es;pt;zh"}|0.6004541158676148
DuckDB|10|2012-11-29|power|13|{"country": "India", "endDate": "2012-11-09"}|0.4687938690185547
DuckDB|10|2012-11-29|power|13|{"country": "India", "endDate": "2012-11-03"}|0.46582043170928955
DuckDB|10|2012-11-29|power|13|{"country": "China", "endDate": "2012-11-10"}|0.4479501247406006
DuckDB|10|2012-11-29|power|13|{"country": "China", "endDate": "2012-10-25"}|0.4604994058609009
DuckDB|10|2012-11-29|power|13|{"country": "India", "endDate": "2012-11-05"}|0.4656014919281006
DuckDB|10|2012-11-29|power|14a|{"country1": "India", "country2": "Chile"}|2.7245469808578493
DuckDB|10|2012-11-29|power|14a|{"country1": "Germany", "country2": "Japan"}|2.721871542930603
DuckDB|10|2012-11-29|power|14a|{"country1": "China", "country2": "Spain"}|2.719846987724304
DuckDB|10|2012-11-29|power|14a|{"country1": "India", "country2": "Italy"}|2.7133206367492675
DuckDB|10|2012-11-29|power|14a|{"country1": "India", "country2": "South_Korea"}|2.7144587993621827
DuckDB|10|2012-11-29|power|14b|{"country1": "Angola", "country2": "Slovakia"}|2.655168628692627
DuckDB|10|2012-11-29|power|14b|{"country1": "Angola", "country2": "New_Zealand"}|2.6386939764022825
DuckDB|10|2012-11-29|power|14b|{"country1": "Bolivia", "country2": "New_Zealand"}|2.6523630142211916
DuckDB|10|2012-11-29|power|14b|{"country1": "Bolivia", "country2": "Hong_Kong"}|2.6572515964508057
DuckDB|10|2012-11-29|power|14b|{"country1": "Azerbaijan", "country2": "Libya"}|2.6603227853775024
DuckDB|10|2012-11-29|power|16a|{"tagA": "Diosdado_Macapagal", "dateA": "2012-10-08", "tagB": "Thailand", "dateB": "2012-02-21", "maxKnowsLimit": "5"}|2.4050283908843992
DuckDB|10|2012-11-29|power|16a|{"tagA": "Bobby_Hull", "dateA": "2012-06-21", "tagB": "Franz_Joseph_I_of_Austria", "dateB": "2012-11-10", "maxKnowsLimit": "3"}|3.4424513578414917
DuckDB|10|2012-11-29|power|16a|{"tagA": "Bobby_Hull", "dateA": "2012-06-22", "tagB": "Franz_Joseph_I_of_Austria", "dateB": "2012-11-10", "maxKnowsLimit": "4"}|3.457449531555176
DuckDB|10|2012-11-29|power|16a|{"tagA": "Robert_Fripp", "dateA": "2011-02-15", "tagB": "Mary_J._Blige", "dateB": "2012-12-31", "maxKnowsLimit": "3"}|3.311270260810852
DuckDB|10|2012-11-29|power|16a|{"tagA": "Robert_Fripp", "dateA": "2011-02-16", "tagB": "Mary_J._Blige", "dateB": "2012-12-31", "maxKnowsLimit": "4"}|3.3042948246002197
DuckDB|10|2012-11-29|power|16b|{"tagA": "Jeff_Kennett", "dateA": "2012-12-31", "tagB": "Ralph_Bakshi", "dateB": "2011-02-12", "maxKnowsLimit": "4"}|3.3422290802001955
DuckDB|10|2012-11-29|power|16b|{"tagA": "Alex_Shelley", "dateA": "2011-12-01", "tagB": "Republic_of_New_Granada", "dateB": "2010-04-29", "maxKnowsLimit": "5"}|2.0535045862197876
DuckDB|10|2012-11-29|power|16b|{"tagA": "Big_Poppa", "dateA": "2012-12-06", "tagB": "East_Germany", "dateB": "2010-05-24", "maxKnowsLimit": "4"}|3.4057544469833374
DuckDB|10|2012-11-29|power|16b|{"tagA": "Gin_and_Juice", "dateA": "2012-12-06", "tagB": "Slovenia", "dateB": "2010-01-30", "maxKnowsLimit": "6"}|3.4156401634216307
DuckDB|10|2012-11-29|power|16b|{"tagA": "J.E._Heartbreak", "dateA": "2012-12-25", "tagB": "Right_on_the_Money", "dateB": "2011-05-10", "maxKnowsLimit": "5"}|3.3593297719955446
