tool|sf|day|batch_type|q|parameters|time
DuckDB-PR|10|2012-11-29|power|q4precomputation||1.315171217918396
DuckDB-PR|10|2012-11-29|power|q6precomputation||1.03122398853302
DuckDB-PR|10|2012-11-29|power|q19precomputation||8.22718541622162
DuckDB-PR|10|2012-11-29|power|q20precomputation||1.7170154333114624
DuckDB-PR|10|2012-11-29|power|1|{"datetime": "2010-08-01T12:12:48.000+00:00"}|0.3468574285507202
DuckDB-PR|10|2012-11-29|power|1|{"datetime": "2010-06-11T09:21:46.000+00:00"}|0.28754754066467286
DuckDB-PR|10|2012-11-29|power|1|{"datetime": "2010-02-26T03:51:21.000+00:00"}|0.1423391342163086
DuckDB-PR|10|2012-11-29|power|1|{"datetime": "2010-08-04T10:58:09.000+00:00"}|0.3459129333496094
DuckDB-PR|10|2012-11-29|power|1|{"datetime": "2010-07-21T06:06:50.000+00:00"}|0.33039915561676025
DuckDB-PR|10|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "ChristianBishop"}|0.22882966995239257
DuckDB-PR|10|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "OfficeHolder"}|0.24176924228668212
DuckDB-PR|10|2012-11-29|power|2a|{"date": "2010-06-06", "tagClass": "Album"}|0.23980956077575682
DuckDB-PR|10|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "Song"}|0.24158854484558107
DuckDB-PR|10|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Person"}|0.2568511962890625
DuckDB-PR|10|2012-11-29|power|2b|{"date": "2010-06-08", "tagClass": "ChristianBishop"}|0.2308739423751831
DuckDB-PR|10|2012-11-29|power|2b|{"date": "2010-06-06", "tagClass": "Senator"}|0.22776408195495607
DuckDB-PR|10|2012-11-29|power|2b|{"date": "2010-06-07", "tagClass": "ComicsCharacter"}|0.2219625234603882
DuckDB-PR|10|2012-11-29|power|2b|{"date": "2010-06-20", "tagClass": "Comedian"}|0.25035581588745115
DuckDB-PR|10|2012-11-29|power|2b|{"date": "2010-06-20", "tagClass": "SoccerManager"}|0.24990620613098144
DuckDB-PR|10|2012-11-29|power|3|{"tagClass": "Saint", "country": "India"}|0.751964783668518
DuckDB-PR|10|2012-11-29|power|3|{"tagClass": "President", "country": "India"}|0.7410235643386841
DuckDB-PR|10|2012-11-29|power|3|{"tagClass": "Song", "country": "China"}|0.7129763841629029
DuckDB-PR|10|2012-11-29|power|3|{"tagClass": "Philosopher", "country": "China"}|0.7282904863357544
DuckDB-PR|10|2012-11-29|power|3|{"tagClass": "Monarch", "country": "China"}|0.7456384420394897
DuckDB-PR|10|2012-11-29|power|4|{"date": "2010-01-07"}|0.36835036277770994
DuckDB-PR|10|2012-11-29|power|4|{"date": "2010-01-10"}|0.36923918724060056
DuckDB-PR|10|2012-11-29|power|4|{"date": "2010-01-26"}|0.36106669902801514
DuckDB-PR|10|2012-11-29|power|4|{"date": "2010-01-11"}|0.3609083414077759
DuckDB-PR|10|2012-11-29|power|4|{"date": "2010-02-06"}|0.3535733461380005
DuckDB-PR|10|2012-11-29|power|5|{"tag": "Republic_of_New_Granada"}|0.8521450281143188
DuckDB-PR|10|2012-11-29|power|5|{"tag": "All_by_Myself"}|0.8445717334747315
DuckDB-PR|10|2012-11-29|power|5|{"tag": "Rivers_of_Babylon"}|0.8540492296218872
DuckDB-PR|10|2012-11-29|power|5|{"tag": "Sikh_Empire"}|0.8394398212432861
DuckDB-PR|10|2012-11-29|power|5|{"tag": "Hot_n_Cold"}|0.858850073814392
DuckDB-PR|10|2012-11-29|power|6|{"tag": "Lee_Hyung-taik"}|0.3713996171951294
DuckDB-PR|10|2012-11-29|power|6|{"tag": "Get_Back"}|0.40886898040771485
DuckDB-PR|10|2012-11-29|power|6|{"tag": "German_colonial_empire"}|0.41238429546356203
DuckDB-PR|10|2012-11-29|power|6|{"tag": "French_Union"}|0.4230458736419678
DuckDB-PR|10|2012-11-29|power|6|{"tag": "Hohenzollern-Sigmaringen"}|0.4146625518798828
DuckDB-PR|10|2012-11-29|power|7|{"tag": "Jacques_Chirac"}|0.4034390449523926
DuckDB-PR|10|2012-11-29|power|7|{"tag": "Slovenia"}|0.40421147346496583
DuckDB-PR|10|2012-11-29|power|7|{"tag": "Bulgaria"}|0.43099949359893797
DuckDB-PR|10|2012-11-29|power|7|{"tag": "W._B._Yeats"}|0.3850850105285645
DuckDB-PR|10|2012-11-29|power|7|{"tag": "Nicolas_Sarkozy"}|0.43330371379852295
DuckDB-PR|10|2012-11-29|power|8a|{"tag": "Claude_Monet", "startDate": "2010-06-10", "endDate": "2010-06-22"}|0.22297017574310302
DuckDB-PR|10|2012-11-29|power|8a|{"tag": "Dominican_Republic", "startDate": "2010-06-08", "endDate": "2010-06-21"}|0.21705470085144044
DuckDB-PR|10|2012-11-29|power|8a|{"tag": "Christopher_Lee", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.22394165992736817
DuckDB-PR|10|2012-11-29|power|8a|{"tag": "Argentina", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.22380075454711915
DuckDB-PR|10|2012-11-29|power|8a|{"tag": "Claude_Monet", "startDate": "2010-06-08", "endDate": "2010-06-21"}|0.22190349102020263
DuckDB-PR|10|2012-11-29|power|8b|{"tag": "1,039/Smoothed_Out_Slappy_Hours", "startDate": "2010-06-24", "endDate": "2010-07-04"}|0.2307811975479126
DuckDB-PR|10|2012-11-29|power|8b|{"tag": "...And_Out_Come_the_Wolves", "startDate": "2010-06-15", "endDate": "2010-06-27"}|0.22276127338409424
DuckDB-PR|10|2012-11-29|power|8b|{"tag": "...All_This_Time", "startDate": "2010-06-22", "endDate": "2010-07-03"}|0.2366497755050659
DuckDB-PR|10|2012-11-29|power|8b|{"tag": "1,039/Smoothed_Out_Slappy_Hours", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.24579813480377197
DuckDB-PR|10|2012-11-29|power|8b|{"tag": "...From_the_Hungry_i", "startDate": "2010-06-23", "endDate": "2010-07-06"}|0.2336040258407593
DuckDB-PR|10|2012-11-29|power|9|{"startDate": "2012-08-29", "endDate": "2012-11-24"}|0.49598667621612547
DuckDB-PR|10|2012-11-29|power|9|{"startDate": "2012-09-04", "endDate": "2012-12-03"}|0.5073894023895263
DuckDB-PR|10|2012-11-29|power|9|{"startDate": "2012-09-03", "endDate": "2012-12-09"}|0.4913017749786377
DuckDB-PR|10|2012-11-29|power|9|{"startDate": "2012-09-02", "endDate": "2012-11-27"}|0.4959877014160156
DuckDB-PR|10|2012-11-29|power|9|{"startDate": "2012-09-02", "endDate": "2012-12-07"}|0.5047627449035644
DuckDB-PR|10|2012-11-29|power|10a|{"personId": "2199023302404", "country": "France", "tagClass": "Saint", "minPathDistance": "3", "maxPathDistance": "4"}|1.2272366523742675
DuckDB-PR|10|2012-11-29|power|10a|{"personId": "2199023302404", "country": "Cuba", "tagClass": "ComicsCreator", "minPathDistance": "3", "maxPathDistance": "4"}|1.0969544172286987
DuckDB-PR|10|2012-11-29|power|10a|{"personId": "2199023263376", "country": "Taiwan", "tagClass": "FormulaOneRacer", "minPathDistance": "3", "maxPathDistance": "4"}|1.0319586753845216
DuckDB-PR|10|2012-11-29|power|10a|{"personId": "2199023293139", "country": "Belgium", "tagClass": "PrimeMinister", "minPathDistance": "3", "maxPathDistance": "4"}|1.3218751668930053
