时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1755763179.3,0.5,1240.8945,0.0,0.0,0,0
1755763179.8,0.952,2268.5,0.0,0.0625,3,2
1755763180.3,0.8,2087.8594,0.0,0.3281,0,29
1755763180.8,0.771,1861.2656,0.0,0.0,0,0
1755763181.3,0.769,1627.2227,0.0,0.0547,0,9
1755763181.8,0.764,1375.2227,0.0,0.0,0,0
1755763182.3,0.865,1356.4062,0.0,0.0,0,0
1755763182.8,0.908,2224.9453,0.0,0.0,0,0
1755763183.3,0.773,1997.5273,0.0,0.0,0,0
1755763183.8,0.764,1766.6914,0.0,0.125,0,7
1755763184.3,0.77,1535.8555,0.0,0.0,0,0
1755763184.8,0.774,1284.1016,0.0,0.0273,0,2
1755763185.3,0.935,2049.0547,0.0,0.0547,0,4
