时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1755763302.2,0.5,1244.2969,0.0,0.0,0,0
1755763302.7,0.947,2982.582,0.0,0.0,0,0
1755763303.2,0.992,4119.7812,0.0,0.0,0,0
1755763303.7,1.0,3923.6367,0.0,0.1367,0,19
1755763304.3,0.995,4078.9258,0.0,0.0,0,0
1755763304.8,0.674,2045.5938,0.0,0.1289,0,7
1755763305.3,0.766,2511.9961,0.0,0.0273,0,2
1755763305.8,0.995,3848.5312,0.0,0.0,0,0
1755763306.3,0.993,4551.1289,0.0,0.0,0,0
1755763306.8,0.967,4389.6797,0.0,0.0,0,0
1755763307.3,0.965,5038.3828,0.0,0.0156,0,2
1755763307.8,0.4,1789.6953,0.0,0.0,0,0
1755763308.3,0.987,3754.75,0.0,0.0,0,0
1755763308.8,0.998,4248.4023,0.0,0.0273,0,2
1755763309.3,0.998,4863.1445,0.0,0.0,0,0
1755763309.8,0.96,5025.5664,0.0,0.0469,3,11
1755763310.3,0.514,1689.7266,0.0,0.3828,0,30
1755763310.8,0.835,2711.793,0.0,0.0039,0,1
1755763311.3,0.995,3905.8398,0.0,0.0,0,0
1755763311.8,0.998,4531.4023,0.0,0.0,0,0
1755763312.3,0.943,4160.5312,0.0,0.0,0,0
1755763312.8,0.933,4735.9648,0.0,0.0,0,0
1755763313.3,0.451,1871.3594,0.0,0.0,0,0
1755763313.8,0.988,3754.9531,0.0,0.0391,0,2
1755763314.3,0.998,4294.8828,0.0,0.0,0,0
1755763314.8,1.0,4897.5664,0.0,0.0,0,0
1755763315.3,0.955,5027.0039,0.0,0.0273,0,2
1755763315.8,0.402,1252.6055,0.0,0.1367,0,10
1755763316.3,0.936,2939.8789,0.0,0.0,0,0
1755763316.8,0.995,3985.5312,0.0,0.0,0,0
1755763317.3,0.998,4667.457,0.0,0.0,0,0
1755763317.8,0.948,4675.3281,0.0,0.0,0,0
1755763318.3,0.82,3922.5586,0.0,0.0,0,0
1755763318.8,0.534,2045.0195,0.0,0.0156,0,2
1755763319.3,0.987,3759.5547,0.0,0.0,0,0
1755763319.8,1.0,4380.6914,0.0,0.0,3,0
1755763320.3,1.0,4943.7461,0.0,0.3438,0,28
1755763320.8,0.953,5029.8789,0.0,0.0,0,0
1755763321.3,0.396,1381.9844,0.0,0.0,0,0
1755763321.8,0.983,3492.9609,0.0,0.0,0,0
1755763322.3,0.995,4084.5703,0.0,0.0,0,0
1755763322.8,0.998,4679.5938,0.0,0.0,0,0
1755763323.3,0.968,5024.0898,0.0,0.0,0,0
1755763323.8,0.668,2432.0234,0.0,0.0391,0,2
1755763324.3,0.723,2421.8828,0.0,0.0,0,0
1755763324.8,0.993,3822.1562,0.0,0.0,0,0
1755763325.3,1.0,4456.0898,0.0,0.0273,0,2
1755763325.8,0.992,4923.6836,0.0,0.0703,0,2
1755763326.3,0.955,5044.2539,0.0,0.0,0,0
1755763326.8,0.38,1714.3594,0.0,0.0859,0,7
1755763327.3,0.972,3753.2344,0.0,0.0,0,0
1755763327.8,0.998,4199.3984,0.0,0.0625,0,13
1755763328.3,1.0,4791.9922,0.0,0.0,0,0
1755763328.8,0.96,5033.3984,0.0,0.0156,0,2
1755763329.3,0.518,1435.8672,0.0,0.0,0,0
