时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1755763436.0,0.667,1246.5273,0.0,0.0,0,0
1755763436.5,0.944,2993.5156,0.0,0.0,0,0
1755763437.0,0.995,3990.9297,0.0,0.082,0,7
1755763437.5,1.0,4596.0312,0.0,0.0,0,0
1755763438.0,0.955,4849.75,0.0,0.0391,0,2
1755763438.5,0.711,2804.9258,0.0,0.0,0,0
1755763439.0,0.675,2272.3789,0.0,0.0,0,0
1755763439.5,0.993,3766.8984,0.0,0.0039,3,1
1755763440.0,1.0,4415.1094,0.0,0.0,0,0
1755763440.5,0.998,4982.8438,0.0,0.3594,0,30
1755763441.0,0.947,5015.3281,0.0,0.0,0,0
1755763441.5,0.412,1820.0469,0.0,0.0,0,0
1755763442.0,0.978,3736.3672,0.0,0.3125,0,59
1755763442.5,0.997,4212.5586,0.0,0.0,0,0
1755763443.0,0.998,4799.7109,0.0,0.0,0,0
1755763443.5,0.965,5014.0508,0.0,0.0508,0,4
1755763444.0,0.423,1279.5469,0.0,0.0,0,0
1755763444.5,0.985,3389.5547,0.0,0.0,0,0
1755763445.0,0.997,4054.0,0.0,0.0273,0,2
1755763445.5,1.0,4651.2695,0.0,0.0,0,0
1755763446.0,0.95,5011.793,0.0,0.0,0,0
1755763446.5,0.648,2438.3164,0.0,0.0,0,0
1755763447.0,0.712,2434.6953,0.0,0.0586,0,2
1755763447.5,0.995,3827.0859,0.0,0.0,0,0
1755763448.0,0.998,4536.5703,0.0,0.2227,0,29
1755763448.5,0.97,4536.832,0.0,0.0156,0,2
1755763449.0,0.905,4512.3242,0.0,0.0,0,0
1755763449.5,0.462,1945.6406,0.0,0.0,3,0
1755763450.0,0.99,3738.6797,0.0,0.0,0,0
1755763450.5,0.997,4259.2305,0.0,0.3594,0,28
1755763451.0,1.0,4843.3945,0.0,0.0078,0,1
1755763451.5,0.955,5014.1836,0.0,0.0,0,0
1755763452.0,0.418,1344.4297,0.0,0.0,0,0
1755763452.5,0.978,3530.2305,0.0,0.0,0,0
1755763453.0,0.998,4075.082,0.0,0.168,0,40
1755763453.5,1.0,4746.4258,0.0,0.0547,0,10
1755763454.0,0.94,5017.3672,0.0,0.0508,0,2
1755763454.5,0.587,1899.3594,0.0,0.0,0,0
1755763455.0,0.8,2687.5898,0.0,0.0273,0,2
1755763455.5,0.998,3890.9883,0.0,0.082,0,2
1755763456.0,1.0,4590.8789,0.0,0.0195,0,4
1755763456.5,0.953,4243.3867,0.0,0.0,0,0
1755763457.0,0.815,3545.4648,0.0,0.0,0,0
1755763457.5,0.578,2148.1367,0.0,0.0,0,0
1755763458.0,0.993,3745.0391,0.0,0.0,0,0
1755763458.5,0.997,4404.0742,0.0,0.0,0,0
1755763459.0,1.0,4959.2578,0.0,0.1016,0,9
1755763459.6,0.948,5022.0039,0.0,0.0,3,0
1755763460.1,0.402,1694.082,0.0,0.0,0,0
1755763460.6,0.982,3739.6133,0.0,0.332,0,28
1755763461.1,0.998,4185.5352,0.0,0.0,0,0
1755763461.6,0.995,4774.1875,0.0,0.0,0,0
1755763462.1,0.94,5011.9141,0.0,0.0,0,0
