时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1755761673.3,0.5,1242.6367,0.0,0.0,0,0
1755761673.8,0.908,1332.9531,0.0,0.0977,0,15
1755761674.3,0.842,1643.7695,0.0,0.0,0,0
1755761674.8,0.759,1327.293,0.0,0.125,0,7
1755761675.3,0.932,1410.957,0.0,0.0273,0,2
1755761675.8,0.762,1292.1055,0.0,0.0039,0,1
1755761676.3,0.958,1330.0039,0.0,0.0,0,0
1755761676.8,0.852,1765.0977,0.0,0.0,0,0
1755761677.3,0.763,1329.0156,0.0,0.043,0,2
1755761677.8,0.887,1424.2383,0.0,0.0,0,0
1755761678.3,0.754,1317.6758,0.0,0.0,0,0
1755761678.8,0.978,1330.4727,0.0,0.0,0,0
1755761679.3,0.87,1797.2539,0.0,0.043,3,9
1755761679.8,0.769,1329.707,0.0,0.0977,0,2
1755761680.4,0.885,1504.6719,0.0,0.3281,0,30
1755761680.9,0.731,1323.0547,0.0,0.0,0,0
1755761681.4,0.99,1329.4531,0.0,0.0,0,0
1755761681.9,0.878,1751.2266,0.0,0.0,0,0
1755761682.4,0.787,1329.1992,0.0,0.0391,0,2
1755761682.9,0.854,1539.5664,0.0,0.0,0,0
1755761683.4,0.756,1326.6953,0.0,0.0,0,0
1755761683.9,0.952,1331.6172,0.0,0.0,0,0
1755761684.4,0.828,1230.0156,0.0,0.0,0,0
1755761684.9,0.875,1330.8789,0.0,0.0586,0,13
1755761685.4,0.871,1653.0156,0.0,0.0273,0,2
