时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1755762136.4,0.0,1269.8047,0.0,0.0,0,0
1755762136.9,0.946,2774.6094,0.0,0.1055,0,7
1755762137.4,0.975,3977.7539,0.0,0.0,0,0
1755762137.9,0.943,4432.2852,0.0,0.0312,0,2
1755762138.4,0.982,4577.7148,0.0,0.0,0,0
1755762138.9,0.577,4497.9531,0.0,0.0,0,0
1755762139.4,0.205,4445.0312,0.0,0.0,3,0
1755762139.9,0.127,4403.9219,0.0,0.0,0,0
1755762140.4,0.393,1762.1055,0.0,0.3359,0,28
1755762140.9,0.96,3146.875,0.0,0.0,0,0
1755762141.4,0.931,4288.9883,0.0,0.0,0,0
1755762141.9,0.98,4515.1484,0.0,0.082,0,17
1755762142.4,0.98,4575.9922,0.0,0.0,0,0
1755762142.9,0.295,4553.0508,0.0,0.0391,0,2
1755762143.4,0.224,4503.9922,0.0,0.0,0,0
1755762143.9,0.241,4117.3203,0.0,0.0,0,0
1755762144.5,0.486,1897.168,0.0,0.0,0,0
1755762145.0,0.972,3325.0039,0.0,0.0,0,0
1755762145.5,0.932,4313.0625,0.0,0.1016,0,4
1755762146.0,0.983,4550.2969,0.0,0.0,0,0
1755762146.5,0.978,4636.5977,0.0,0.0,0,0
1755762147.0,0.158,4610.5586,0.0,0.0,0,0
1755762147.5,0.25,4532.2461,0.0,0.0586,0,12
1755762148.0,0.213,2897.9844,0.0,0.1016,0,7
1755762148.5,0.646,2214.5195,0.0,0.0156,0,2
1755762149.0,0.97,3604.2109,0.0,0.0,0,0
1755762149.5,0.938,4370.3008,0.0,0.0,3,0
1755762150.0,0.977,4555.1055,0.0,0.0,0,0
1755762150.5,0.901,4568.5703,0.0,0.3359,0,28
1755762151.0,0.132,4536.0039,0.0,0.0,0,0
1755762151.5,0.147,4472.5,0.0,0.0,0,0
1755762152.0,0.127,1438.375,0.0,0.0,0,0
1755762152.5,0.853,2690.6641,0.0,0.3672,0,83
1755762153.0,0.962,3793.6562,0.0,0.0,0,0
1755762153.5,0.952,4388.2188,0.0,0.0391,0,2
1755762154.0,0.985,4551.8672,0.0,0.0,0,0
1755762154.5,0.681,4580.4141,0.0,0.0,0,0
1755762155.0,0.244,4506.7305,0.0,0.0273,0,2
1755762155.5,0.252,4437.9844,0.0,0.0,0,0
1755762156.0,0.247,1350.4219,0.0,0.0,0,0
1755762156.5,0.98,3001.9492,0.0,0.082,0,2
1755762157.0,0.992,4194.2734,0.0,0.0,0,0
1755762157.5,0.953,4432.2422,0.0,0.0,0,0
1755762158.0,0.993,4563.1641,0.0,0.0508,0,10
1755762158.5,0.359,4564.4023,0.0,0.0625,0,13
1755762159.0,0.145,4504.3555,0.0,0.1289,0,9
1755762159.5,0.135,3935.6523,0.0,0.0,3,0
1755762160.0,0.54,2022.1602,0.0,0.0,0,0
1755762160.5,0.967,3384.7812,0.0,0.3398,0,28
1755762161.0,0.922,4338.1484,0.0,0.0,0,0
1755762161.5,0.978,4473.4922,0.0,0.0,0,0
1755762162.0,0.908,4540.9219,0.0,0.0,0,0
1755762162.5,0.13,4506.9688,0.0,0.0,0,0
1755762163.0,0.254,4439.2852,0.0,0.0117,0,2
1755762163.5,0.192,1691.3203,0.0,0.0781,0,16
1755762164.0,0.827,2697.3828,0.0,0.0508,0,2
1755762164.5,0.968,3811.4492,0.0,0.0,0,0
1755762165.0,0.97,4410.1875,0.0,0.0273,0,2
1755762165.5,0.975,4596.7266,0.0,0.0,0,0
1755762166.0,0.666,4675.4766,0.0,0.0742,0,2
1755762166.5,0.13,4457.7031,0.0,0.0,0,0
1755762167.0,0.125,4439.9609,0.0,0.0,0,0
1755762167.5,0.175,1293.3984,0.0,0.0156,0,4
1755762168.0,0.975,2897.4375,0.0,0.0,0,0
1755762168.5,0.985,4114.6094,0.0,0.0039,0,1
1755762169.0,0.933,4475.3828,0.0,0.0,0,0
1755762169.5,0.975,4596.9336,0.0,0.0781,3,13
1755762170.0,0.531,4501.168,0.0,0.1172,0,7
1755762170.5,0.132,4395.1367,0.0,0.3477,0,31
1755762171.0,0.125,4395.625,0.0,0.0,0,0
1755762171.5,0.385,1684.4023,0.0,0.0,0,0
1755762172.0,0.985,3163.668,0.0,0.0,0,0
1755762172.5,0.965,4269.6094,0.0,0.0,0,0
1755762173.0,0.975,4491.0938,0.0,0.0,0,0
1755762173.5,0.988,4576.4883,0.0,0.0,0,0
1755762174.0,0.349,4610.668,0.0,0.0,0,0
1755762174.5,0.259,4448.1602,0.0,0.1016,0,14
1755762175.0,0.231,4024.9258,0.0,0.0273,0,2
