时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1755762547.9,0.5,1246.125,0.0,0.0,0,0
1755762548.4,0.836,2628.8086,0.0,0.0,0,0
1755762548.9,0.84,3160.6172,0.0,0.0,0,0
1755762549.4,0.454,3579.7109,0.0,0.0,3,0
1755762549.9,0.252,4000.0234,0.0,0.0625,0,2
1755762550.4,0.574,2082.8164,0.0,0.3906,0,30
1755762550.9,0.688,2387.625,0.0,0.0,0,0
1755762551.4,0.978,3128.3672,0.0,0.0,0,0
1755762551.9,0.435,3577.4844,0.0,0.0,0,0
1755762552.4,0.266,3809.0547,0.0,0.0938,0,23
1755762552.9,0.567,3511.8477,0.0,0.0,0,0
1755762553.4,0.607,2243.4023,0.0,0.0,0,0
1755762553.9,0.825,2929.2656,0.0,0.0,0,0
1755762554.4,0.515,3284.8711,0.0,0.0,0,0
1755762554.9,0.543,3687.9648,0.0,0.0273,0,2
1755762555.4,0.586,2150.6289,0.0,0.0156,0,2
1755762555.9,0.848,2927.5469,0.0,0.1289,0,9
1755762556.4,0.65,3457.3867,0.0,0.0,0,0
1755762556.9,0.313,3616.6094,0.0,0.0,0,0
1755762557.4,0.429,4139.0625,0.0,0.0,0,0
1755762557.9,0.562,1858.7539,0.0,0.0,0,0
1755762558.4,0.852,2924.582,0.0,0.0,0,0
1755762558.9,0.65,3267.6094,0.0,0.0,0,0
1755762559.4,0.358,3581.6172,0.0,0.0,3,0
1755762559.9,0.377,4136.0586,0.0,0.0,0,0
1755762560.4,0.547,1497.9258,0.0,0.3789,0,30
1755762560.9,0.852,2814.0352,0.0,0.0,0,0
1755762561.4,0.713,3164.707,0.0,0.0,0,0
1755762561.9,0.451,3582.3281,0.0,0.0,0,0
1755762562.4,0.248,4123.7031,0.0,0.0039,0,1
1755762562.9,0.57,1243.6602,0.0,0.0,0,0
1755762563.4,0.823,2617.3555,0.0,0.0,0,0
1755762563.9,0.843,3166.8828,0.0,0.0,0,0
1755762564.4,0.447,3584.9648,0.0,0.0,0,0
1755762564.9,0.252,3985.3516,0.0,0.0273,0,2
1755762565.4,0.606,2419.0,0.0,0.0703,0,4
1755762566.0,0.617,2326.6719,0.0,0.0,0,0
1755762566.5,0.962,3067.9062,0.0,0.0,0,0
1755762567.0,0.508,3585.4297,0.0,0.0859,0,7
1755762567.5,0.278,3765.8125,0.0,0.0,0,0
1755762568.0,0.57,3979.7344,0.0,0.0,0,0
1755762568.5,0.57,2177.2734,0.0,0.0,0,0
1755762569.0,0.855,2933.2695,0.0,0.0,0,0
1755762569.5,0.653,3476.6133,0.0,0.0,3,0
1755762570.0,0.315,3625.4961,0.0,0.0,0,0
1755762570.5,0.448,4139.5859,0.0,0.3477,0,28
1755762571.0,0.533,1832.1953,0.0,0.0391,0,2
1755762571.5,0.847,2927.0625,0.0,0.0,0,0
1755762572.0,0.649,3241.5703,0.0,0.0,0,0
1755762572.5,0.377,3583.6094,0.0,0.2422,0,56
1755762573.0,0.362,4137.0703,0.0,0.0469,0,10
