tool|sf|day|batch_type|q|parameters|time
PostgreSQL|10|2012-11-29|power|q4precomputation||34.40236210823059
PostgreSQL|10|2012-11-29|power|q6precomputation||78.52922534942627
PostgreSQL|10|2012-11-29|power|q19precomputation||42.53535485267639
PostgreSQL|10|2012-11-29|power|q20precomputation||2.2510013580322266
PostgreSQL|10|2012-11-29|power|1|{"datetime": "2010-08-01T12:12:48.000+00:00"}|0.8055102825164795
PostgreSQL|10|2012-11-29|power|1|{"datetime": "2010-06-11T09:21:46.000+00:00"}|0.5359725952148438
PostgreSQL|10|2012-11-29|power|1|{"datetime": "2010-02-26T03:51:21.000+00:00"}|0.046135902404785156
PostgreSQL|10|2012-11-29|power|1|{"datetime": "2010-08-04T10:58:09.000+00:00"}|0.8297817707061768
PostgreSQL|10|2012-11-29|power|1|{"datetime": "2010-07-21T06:06:50.000+00:00"}|0.679358959197998
PostgreSQL|10|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "ChristianBishop"}|12.014554262161255
PostgreSQL|10|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "OfficeHolder"}|7.176903247833252
PostgreSQL|10|2012-11-29|power|2a|{"date": "2010-06-06", "tagClass": "Album"}|5.874812602996826
PostgreSQL|10|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "Song"}|5.47626805305481
PostgreSQL|10|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Person"}|5.593637228012085
PostgreSQL|10|2012-11-29|power|2b|{"date": "2010-06-08", "tagClass": "ChristianBishop"}|6.031001567840576
PostgreSQL|10|2012-11-29|power|2b|{"date": "2010-06-06", "tagClass": "Senator"}|7.1135687828063965
PostgreSQL|10|2012-11-29|power|2b|{"date": "2010-06-07", "tagClass": "ComicsCharacter"}|6.831457853317261
PostgreSQL|10|2012-11-29|power|2b|{"date": "2010-06-20", "tagClass": "Comedian"}|5.756404399871826
PostgreSQL|10|2012-11-29|power|2b|{"date": "2010-06-20", "tagClass": "SoccerManager"}|6.893430233001709
PostgreSQL|10|2012-11-29|power|3|{"tagClass": "Saint", "country": "India"}|4.746268033981323
PostgreSQL|10|2012-11-29|power|3|{"tagClass": "President", "country": "India"}|4.4628753662109375
PostgreSQL|10|2012-11-29|power|3|{"tagClass": "Song", "country": "China"}|4.528092861175537
PostgreSQL|10|2012-11-29|power|3|{"tagClass": "Philosopher", "country": "China"}|16.473106145858765
PostgreSQL|10|2012-11-29|power|3|{"tagClass": "Monarch", "country": "China"}|4.480807304382324
PostgreSQL|10|2012-11-29|power|4|{"date": "2010-01-07"}|0.8533642292022705
PostgreSQL|10|2012-11-29|power|4|{"date": "2010-01-10"}|0.8264741897583008
PostgreSQL|10|2012-11-29|power|4|{"date": "2010-01-26"}|0.7558512687683105
PostgreSQL|10|2012-11-29|power|4|{"date": "2010-01-11"}|0.8579702377319336
PostgreSQL|10|2012-11-29|power|4|{"date": "2010-02-06"}|0.7904407978057861
PostgreSQL|10|2012-11-29|power|5|{"tag": "Republic_of_New_Granada"}|8.973005294799805
PostgreSQL|10|2012-11-29|power|5|{"tag": "All_by_Myself"}|10.75113582611084
PostgreSQL|10|2012-11-29|power|5|{"tag": "Rivers_of_Babylon"}|10.710694551467896
PostgreSQL|10|2012-11-29|power|5|{"tag": "Sikh_Empire"}|8.482133626937866
PostgreSQL|10|2012-11-29|power|5|{"tag": "Hot_n_Cold"}|8.919123649597168
PostgreSQL|10|2012-11-29|power|6|{"tag": "Lee_Hyung-taik"}|2.4275243282318115
PostgreSQL|10|2012-11-29|power|6|{"tag": "Get_Back"}|2.235738754272461
PostgreSQL|10|2012-11-29|power|6|{"tag": "German_colonial_empire"}|2.4546666145324707
PostgreSQL|10|2012-11-29|power|6|{"tag": "French_Union"}|2.4497742652893066
PostgreSQL|10|2012-11-29|power|6|{"tag": "Hohenzollern-Sigmaringen"}|2.4518890380859375
PostgreSQL|10|2012-11-29|power|7|{"tag": "Jacques_Chirac"}|0.5233330726623535
PostgreSQL|10|2012-11-29|power|7|{"tag": "Slovenia"}|0.48489928245544434
PostgreSQL|10|2012-11-29|power|7|{"tag": "Bulgaria"}|0.5428116321563721
PostgreSQL|10|2012-11-29|power|7|{"tag": "W._B._Yeats"}|0.49013471603393555
PostgreSQL|10|2012-11-29|power|7|{"tag": "Nicolas_Sarkozy"}|0.5454342365264893
