时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744378848.869141952,.096,10222.1289,0,0,0,0
1744378849.396710333,.125,10222.1289,0,0,0,0
1744378849.923908767,.123,10222.6679,.5859,0,35,0
1744378850.453008132,.121,10223.4453,.7265,0,61,0
1744378850.981736198,.120,10224.5312,1.0937,0,78,0
1744378851.514195061,.120,10225.4726,.9843,0,78,0
1744378852.042411999,.121,10226.4492,1.0078,0,61,0
1744378852.570364531,.121,10227.2539,.7890,0,67,0
1744378853.099123933,.120,10228.1523,.7968,0,63,0
1744378853.627607233,.121,10228.8203,.7734,0,49,0
1744378854.158365945,.121,10229.8437,.9218,0,63,0
1744378854.694672047,.122,10230.5156,.7265,0,43,0
1744378855.223667013,.120,10231.5156,.9531,0,76,0
1744378855.752703690,.121,10232.2812,.8359,0,57,0
1744378856.281744499,.121,10233.1171,.8203,0,61,0
1744378856.811134577,.121,10234.2929,1.1640,0,74,0
1744378857.341749109,.121,10235.5351,1.2968,0,80,0
1744378857.873005861,.120,10236.4101,.8671,0,60,0
1744378858.402816839,.121,10237.5351,1.1640,0,73,0
1744378858.932919830,.120,10238.6093,1.0234,0,71,0
1744378859.462375343,.119,10239.6406,.9531,0,62,0
1744378859.990298685,.118,10240.4726,.8359,0,55,0
1744378860.521334409,.119,10241.6523,1.1640,0,65,0
1744378861.051412150,.121,10242.3710,.8203,0,64,0
1744378861.580755762,.120,10243.0117,.5312,0,42,0
1744378862.109920070,.121,10243.9453,.9687,0,70,0
1744378862.638949102,.120,10244.6640,.7109,0,59,0
1744378863.168667588,.121,10245.2890,.5937,0,47,0
1744378863.698084923,.122,10245.8984,.6953,0,55,0
1744378864.227642533,.122,10246.6406,.7421,0,50,0
1744378864.757951352,.122,10247.1093,.4609,0,45,0
1744378865.287430500,.123,10247.3593,.2109,0,22,0
1744378865.817004597,.122,10248.1093,.7890,0,48,0
1744378866.347857880,.123,10248.4687,.3515,0,32,0
1744378866.876933802,.124,10248.3906,0,0,0,0
1744378867.406024226,.125,10248.5156,0,0,0,0
1744378867.935980112,.124,10248.5156,0,0,0,0
1744378868.465525504,.125,10248.5156,0,0,0,0
1744378868.995480566,.124,10248.5156,0,0,0,0
1744378869.524730591,.125,10248.5156,0,0,0,0
1744378870.053765247,.125,10248.5156,0,0,0,0
1744378870.582876809,.125,10248.4296,0,0,0,0
1744378871.111555534,.125,10248.4296,0,0,0,0
1744378871.641966004,.125,10248.4296,0,0,0,0
1744378872.170942403,.125,10248.4296,0,0,0,0
1744378872.699544109,.125,10248.4296,0,0,0,0
1744378873.228270799,.124,10248.4296,0,0,0,0
1744378873.756961751,.125,10248.4296,0,0,0,0
1744378874.285820026,.126,10248.4296,0,0,0,0
1744378874.814800221,.124,10248.4296,0,0,0,0
1744378875.343759079,.125,10248.4296,0,0,0,0
1744378875.873450630,.125,10248.4296,0,0,0,0
1744378876.402739446,.124,10248.4296,0,0,0,0
1744378876.931403638,.125,10248.4296,0,0,0,0
1744378877.460253182,.124,10248.4296,0,0,0,0
1744378877.995799123,.126,10248.4296,0,0,0,0
1744378878.526474416,.124,10248.4296,0,0,0,0
1744378879.054369255,.125,10248.4296,0,0,0,0
1744378879.583710532,.124,10248.4296,0,0,0,0
1744378880.112856342,.124,10248.4296,0,0,0,0
1744378880.642215923,.125,10248.4296,0,0,0,0
1744378881.169991532,.125,10248.4296,0,0,0,0
1744378881.699129595,.124,10248.4296,0,0,0,0
