时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744377672.459282067,.134,7470.3437,0,0,0,0
1744377672.987113037,.337,7537.8710,0,0,0,0
1744377673.517411835,.375,7557.5117,0,0,0,0
1744377674.047827701,.373,7559.3281,0,0,0,0
1744377674.578700698,.375,7561.0781,0,0,0,0
1744377675.107340172,.374,7679.3828,.0117,0,3,0
1744377675.641833083,.376,7888.3828,0,0,0,0
1744377676.177222538,.375,8094.3828,0,0,0,0
1744377676.711941085,.373,8304.5625,0,0,0,0
1744377677.244324917,.374,8511.5625,0,0,0,0
1744377677.779754377,.366,8678.6093,0,0,0,0
1744377678.312603590,.352,8710.9101,0,0,0,0
1744377678.843548690,.359,8710.9296,0,0,0,0
1744377679.375823953,.178,7470.3671,0,0,0,0
1744377679.905628376,.346,7549.2265,0,0,0,0
1744377680.438148374,.374,7558.2734,0,0,0,0
1744377680.967168702,.374,7560.1484,0,0,0,0
1744377681.505378480,.376,7582.7734,.0039,0,1,0
1744377682.034393967,.374,7783.9179,0,0,0,0
1744377682.564634302,.373,7985.6679,0,0,0,0
1744377683.094984834,.376,8187.7929,0,0,0,0
1744377683.625287864,.376,8389.2929,0,0,0,0
1744377684.155202872,.373,8589.5820,0,0,0,0
1744377684.687789193,.363,8678.5312,0,0,0,0
1744377685.217319125,.347,8710.6328,0,0,0,0
1744377685.749533882,.345,8625.0585,0,0,0,0
