时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744377726.035440987,.133,7536.1250,0,0,0,0
1744377726.562732188,.198,7591.7929,0,0,0,0
1744377727.092930828,.316,7612.2773,0,.0195,0,5
1744377727.626261718,.376,7620.2773,0,0,0,0
1744377728.157988032,.374,7636.2382,0,0,0,0
1744377728.694258849,.374,7636.3632,0,0,0,0
1744377729.226601780,.374,7638.1757,0,0,0,0
1744377729.759997732,.373,7639.4257,0,0,0,0
1744377730.290673359,.375,7640.1093,0,0,0,0
1744377730.822982859,.374,7641.8593,0,0,0,0
1744377731.354686958,.375,7642.5742,0,0,0,0
1744377731.885584905,.303,7536.1367,0,0,0,0
1744377732.414881663,.186,7591.8007,0,0,0,0
1744377732.943717982,.304,7620.2890,0,0,0,0
1744377733.475967051,.372,7636.3437,0,0,0,0
1744377734.009556569,.376,7637.1953,0,0,0,0
1744377734.540769465,.372,7639.3203,0,0,0,0
1744377735.071509807,.375,7640.3203,0,0,0,0
1744377735.602129894,.375,7642.1835,0,0,0,0
1744377736.135883274,.373,7643.3085,0,0,0,0
