时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744377401.463525056,.104,556.2890,.5625,.1171,7,1
1744377401.992359263,.113,631.9101,31.1757,.0078,606,1
1744377402.523387867,.124,720.9414,43.8750,0,351,0
1744377403.051728037,.122,828.6992,41.8750,0,335,0
1744377403.588023444,.122,904.8046,44.6250,0,357,0
1744377404.117797190,.124,1043.9296,39.1250,0,313,0
1744377404.646361709,.121,1090.0546,45.6250,0,365,0
1744377405.174997224,.122,1137.7578,47.0000,0,376,0
1744377405.704111466,.123,1300.7851,37.3750,0,300,0
1744377406.234717523,.122,1355.5234,49.2500,0,396,0
1744377406.764952692,.122,1405.9414,49.8750,0,399,0
1744377407.293009706,.118,1516.4414,39.0000,0,312,0
1744377407.822793199,.123,1619.2070,42.7500,0,342,0
1744377408.353151251,.118,1665.7109,46.1250,0,369,0
1744377408.883032205,.120,1719.1171,46.3750,0,371,0
1744377409.411945809,.123,1877.8242,37.2500,0,299,0
1744377409.941213028,.122,1927.4492,46.2500,0,371,0
1744377410.470108262,.110,1970.5507,42.7500,0,343,0
1744377410.999285673,.123,2085.1406,41.7500,0,334,0
1744377411.529090426,.124,2187.1679,43.2500,0,346,0
1744377412.057458766,.123,2236.0390,48.5000,0,388,0
1744377412.586189061,.123,2301.5390,46.1250,0,369,0
1744377413.116048848,.123,2449.1054,38.3750,0,307,0
1744377413.644967038,.122,2499.4179,46.7500,0,374,0
1744377414.174379215,.124,2547.4179,47.6289,0,385,0
1744377414.703754985,.124,2677.5429,38.6250,0,309,0
1744377415.233070674,.124,2761.7929,44.2500,0,354,0
1744377415.761900787,.124,2811.4023,49.1250,0,393,0
1744377416.293199603,.124,2904.0273,44.5039,0,357,0
1744377416.821871715,.124,3028.2695,41.8750,8.1835,335,23
1744377417.351353723,.124,3077.5195,47.8750,0,383,0
1744377417.880930536,.124,3136.5195,47.8750,0,383,0
1744377418.410450271,.125,3280.5195,39.8750,0,319,0
1744377418.939151679,.124,3344.6132,47.3750,0,379,0
1744377419.468932762,.123,3393.3007,46.5000,0,373,0
1744377419.997055328,.125,3460.2695,24.8632,0,202,0
1744377420.529237592,.124,3472.8945,0,0,0,0
1744377421.059285725,.124,3488.8945,0,0,0,0
1744377421.589289089,.125,3501.5195,0,0,0,0
1744377422.118228245,.124,3514.1445,0,339.0351,0,832
1744377422.647584524,.124,3526.7695,0,128.7421,0,299
1744377423.177327728,.125,3541.7695,0,125.3437,0,349
1744377423.706113776,.121,3555.2031,0,143.9882,0,425
1744377424.235346538,.124,3569.5781,0,147.0078,0,352
1744377424.764013221,.124,3583.3437,0,142.0781,0,329
1744377425.293493160,.125,3598.4687,0,127.9140,0,283
1744377425.822760548,.124,3612.3437,0,129.9960,0,280
1744377426.350289555,.125,3627.3281,0,19.0351,0,77
1744377426.879034784,.124,3641.7031,0,0,0,0
1744377427.407387109,.124,3658.3281,0,0,0,0
1744377427.936084389,.124,3672.5781,0,0,0,0
1744377428.464710821,.124,3687.3281,0,0,0,0
1744377429.001781244,.125,3703.5781,0,0,0,0
1744377429.530496743,.072,3728.1132,8.3867,.0390,1025,1
1744377430.058781685,.014,3766.1914,20.4687,.0859,2258,2
1744377430.587025600,.021,3817.1992,27.2421,.3515,2741,3
1744377431.115759063,.098,3850.1679,9.1835,4.2890,946,11
1744377431.644497475,.125,3858.5429,0,1.3750,0,3
1744377432.172665125,.124,3874.3125,0,8.0000,0,17
1744377432.702098963,.126,3885.5468,.0039,3.6328,1,8
1744377433.230887604,.124,3901.0078,0,8.3671,0,18
1744377433.760002084,.125,3913.3867,0,4.0000,0,10
1744377434.287947855,.123,3927.0156,0,7.1796,0,15
1744377434.816905539,.123,3940.0273,0,4.8203,0,10
1744377435.346344261,.126,2573.8984,0,4.0000,0,9
